"Common_Type_Name","Char","Octet","Short","Unsigned_Short","Long","Unsigned_Long","Unsigned_Long_Long","Long_Long","Float","Double ","Long_Double","Boolean","String"
"ISO IDL","char","octet","short","unsigned short","long","unsigned long","unsigned long long","long long","float","double ","long double","boolean","string"
"C","char","std::uint8_t","short","unsigned short","int","unsigned int","unsigned long long","long long","float","double","long double","int","char*"
"C#","char","byte","short","ushort","int","uint","ulong","long","float","double","double","bool","string"
"C++","char","std::uint8_t","short ","long","long long","unsigned short","unsigned long","long long","float","double","long double","bool","std::string"
"Erlang","integer","integer","integer","integer","integer","integer","integer","integer","float","float","float","boolean","list"
"Java","char","byte","short","int","long","BigInteger","BigInteger","BigInteger","float","double","BigDecimal","boolean","String"
"JavaScript","string","number","number","number","number","number","BigInt","BigInt","number","number","number","boolean","string"
"JSON","string","number","number","number","number","number","number","number","number","number","number","boolean","string"
"MATLAB","char","uint8","int16","uint16","int32","uint32","uint64","int64","single","double","No direct equivalent","logical","string"
"PHP","string","int","int","int","int","int","int","int","float","float","float","bool","string"
"PostgreSQL","character","smallint","smallint","integer","integer","bigint","bigint","bigint","real","double precision",,"boolean","text"
"Python","str","int","int","int","int","int","int","int","float","float","float","bool","str"
"R","character","integer","integer","integer","integer","integer","numeric","numeric","numeric","numeric","No direct equivalent","logical","character"
"Rust","char","u8","i16","u16","i32","u32","u64","i64","f32","f64","f64","bool","String"
"Solidity","bytes1","uint8","int16","uint16","int32","uint32","uint64","int64","float32","float64","float","bool","string"
"TypeScript","string","number","number","number","number","number","BigInt","BigInt","number","number","number","boolean","string"
"XSD","xsd:char","xsd:unsignedByte","xsd:short","xsd:unsignedShort","xsd:int","xsd:unsignedInt","xsd:unsignedLong","xsd:long","xsd:double","xsd:double",,"xsd:boolean","xsd:string"
